-,6, 10.3, -4.9,-
-,6, 11.5, -0.3,-
-,6, 14.0, -1.7,-
-,6, 14.2, -1.3,-
-,6, 2.8, -10.4,-
-,6, 3.0, -11.3,-
-,6, 5.8, -10.5,-
-,6, 6.0, -6.2,-
-,6, 6.3, -4.3,-
-,6, 6.4, -3.8,-
-,6, 6.7, -2.9,-
-,6, 7.1, -6.8,-
-,6, 7.2, -5.5,-
-,6, 7.6, -3.8,-
-,6, 8.0, -4.9,-
6,7,-,-,279
-,7, -0.2, -7.8,-
-,7, -0.6, -14.3,-
-,7, -0.8, -17.4,-
-,7, -1.1, -12.3,-
-,7, -1.4, -14.8,-
-,7, -1.8, -15.3,-
-,7, -2.3, -17.3,-
-,7, -2.5, -19.4,-
-,7, -2.6, -16.1,-
-,7, -3.0, -18.4,-
-,7, -3.9, -19.4,-
-,7, -4.2, -17.2,-
-,7, -4.7, -18.2,-
-,7, -6.4, -17.6,-
-,7, 0.7, -17.3,-
-,7, 1.2, -9.9,-
-,7, 1.7, -9.5,-
-,7, 11.8, -6.0,-
-,7, 12.4, -2.1,-
-,7, 13.7, -2.2,-
-,7, 14.7, -1.4,-
-,7, 2.2, -10.5,-
-,7, 3.4, -5.2,-
-,7, 3.4, -5.7,-
-,7, 4.1, -6.1,-
-,7, 4.5, -6.1,-
-,7, 4.5, -7.8,-
-,7, 4.6, -10.0,-
-,7, 4.6, -5.6,-
-,7, 4.8, -9.6,-
-,7, 7.8, -0.3,-
1,8,-,-,465
-,8, -1.0, -6.9,-
-,8, 0.0, -4.8,-
-,8, 0.5, -5.3,-
-,8, 10.0, -0.2,-
-,8, 10.1, 2.9,-
-,8, 10.4, 5.5,-
-,8, 11.0, 2.4,-
-,8, 11.6, 7.0,-
-,8, 12.0, 7.4,-
-,8, 13.0, -3.3,-
-,8, 13.0, 4.0,-
-,8, 15.0, 6.0,-
-,8, 16.2, 4.0,-
-,8, 17.0, 1.4,-
-,8, 17.0, 3.2,-
-,8, 18.0, 2.0,-
-,8, 2.0, -3.3,-
-,8, 4.3, -6.3,-
-,8, 5.0, 2.8,-
-,8, 5.3, -8.0,-
-,8, 5.3, 2.7,-
-,8, 6.0, -0.6,-
-,8, 6.2, -1.2,-
-,8, 7.0, -4.2,-
-,8, 8.0, -3.0,-
-,8, 9.0, -5.0,-
-,8, 9.0, 2.3,-
-,8, 9.1, 0.0,-
-,8, 9.3, 2.0,-
-,8, 9.5, -3.0,-
-,8, 9.5, 5.0,-
2,9,-,-,310
-,9, 0.6, -4.2,-
-,9, 1.6, -4.7,-
-,9, 1.9, -5.4,-
-,9, 10.1, -4.2,-
-,9, 10.3, 2.1,-
-,9, 12.6, -3.4,-
-,9, 14.4, 0.7,-
-,9, 15.8, -0.5,-
-,9, 2.0, -4.5,-
-,9, 2.6, -8.3,-
-,9, 2.9, -5.3,-
-,9, 3.4, -5.9,-
-,9, 3.5, -6.4,-
-,9, 3.7, 0.6,-
-,9, 3.7, 0.9,-
-,9, 3.9, -3.0,-
-,9, 4.1, -0.1,-
-,9, 4.6, 1.3,-
-,9, 4.7, -1.0,-
-,9, 4.9, 2.3,-
-,9, 5.1, -1.8,-
-,9, 5.4, -2.5,-
-,9, 5.4, -3.0,-
-,9, 6.1, -2.4,-
-,9, 6.3, -3.2,-
-,9, 6.7, -0.1,-
-,9, 7.0, 2.2,-
-,9, 7.2, -7.4,-
-,9, 7.2, 0.5,-
-,9, 7.4, 3.3,-
-,9, 8.8, 0.7,-
6,10,-,-,279
-,10, -0.6, -8.6,-
-,10, -0.8, -1.9,-
-,10, -0.8, -7.1,-
-,10, -0.9, -7.5,-
-,10, -1.2, -6.4,-
-,10, -1.3, -7.0,-
-,10, -2.9, -5.9,-
-,10, -3.9, -5.3,-
-,10, 0.0, -5.7,-
-,10, 0.0, -8.0,-
-,10, 0.7, -4.2,-
-,10, 0.7, -5.0,-
-,10, 1.7, -1.7,-
-,10, 2.2, -1.9,-
-,10, 3.6, -4.0,-
-,10, 3.7, -0.4,-
-,10, 4.0, -0.7,-
-,10, 4.1, 2.8,-
-,10, 4.3, -0.6,-
-,10, 4.4, -1.3,-
-,10, 4.7, -0.2,-
-,10, 4.7, -5.6,-
-,10, 4.8, -1.1,-
-,10, 5.0, -3.6,-
-,10, 5.8, -1.4,-
-,10, 5.8, 2.4,-
-,10, 6.6, 2.1,-
-,10, 6.7, -0.1,-
-,10, 7.2, 2.0,-
-,10, 7.6, -0.5,-
-,10, 8.7, 1.7,-
8,11,-,-,103
-,11, 15.2, 3.2,-
-,11, 15.2, 6.2,-
-,11, 2.0, -2.4,-
-,11, 4.6, 3.2,-
-,11, 7.7, 4.5,-
1,12,-,-,465
-,12, -0.7, -7.2,-
-,12, -2.2, -6.0,-
-,12, -3.4, -7.1,-
-,12, 0.4, -9.6,-
-,12, 1.5, -8.6,-
-,12, 10.0, 3.0,-
-,12, 10.6, -4.7,-
-,12, 10.9, -0.1,-
-,12, 14.8, 0.1,-
-,12, 15.5, 5.3,-
-,12, 15.7, 0.3,-
-,12, 17.0, 0.1,-
-,12, 2.6, 1.4,-
-,12, 2.7, 0.3,-
-,12, 3.1, 0.7,-
-,12, 3.6, -6.5,-
-,12, 4.0, -5.6,-
-,12, 4.2, -9.1,-
-,12, 4.7, 0.9,-
-,12, 5.1, -1.2,-
-,12, 5.4, 1.0,-
-,12, 5.6, -2.4,-
-,12, 5.9, 0.3,-
-,12, 5.9, 2.2,-
-,12, 6.7, 4.1,-
-,12, 6.8, -3.2,-
-,12, 7.1, 1.1,-
-,12, 7.5, 3.2,-
-,12, 8.1, -0.8,-
-,12, 9.4, 3.3,-
-,12, 9.6, 1.4,-
7,13,-,-,186
-,13, 0.5, -5.0,-
-,13, 10.0, -3.9,-
-,13, 10.4, 1.0,-
-,13, 11.0, -4.0,-
-,13, 11.0, 2.0,-
-,13, 11.1, -0.6,-
-,13, 11.4, 1.7,-
-,13, 11.5, 0.6,-
-,13, 12.0, 0.5,-
-,13, 12.0, 3.5,-
-,13, 12.7, 1.0,-
-,13, 12.9, -2.0,-
-,13, 13.0, -1.6,-
-,13, 15.0, 2.7,-
-,13, 15.6, 0.9,-
-,13, 15.6, 1.2,-
-,13, 16.2, 0.0,-
-,13, 16.3, -0.6,-
-,13, 17.0, 1.0,-
-,13, 17.5, 2.0,-
-,13, 18.4, 0.9,-
-,13, 18.7, 2.7,-
-,13, 2.3, -8.0,-
-,13, 20.5, 2.0,-
-,13, 6.2, -7.0,-
-,13, 7.4, -3.0,-
-,13, 8.0, -1.6,-
-,13, 8.3, -4.0,-
-,13, 8.5, -3.4,-
-,13, 9.0, -3.0,-
-,13, 9.1, -4.2,-
2,14,-,-,310
-,14, -0.9, -9.5,-
-,14, -1.8, -8.3,-
-,14, -1.9, -8.5,-
-,14, 0.0, -7.8,-
-,14, 0.1, -4.0,-
-,14, 0.7, -5.2,-
-,14, 1.0, -0.3,-
-,14, 1.1, -10.9,-
-,14, 1.9, -10.1,-
-,14, 10.1, -3.4,-
-,14, 10.9, 3.1,-
-,14, 12.0, -0.6,-
-,14, 14.3, -1.5,-
-,14, 2.0, -1.0,-
-,14, 2.5, 0.6,-
-,14, 2.6, -0.4,-
-,14, 2.6, 0.1,-
-,14, 2.7, -11.1,-
-,14, 2.8, 1.0,-
-,14, 3.0, -0.3,-
-,14, 3.0, 0.1,-
-,14, 3.1, 0.0,-
