idx_region,avg_dtemp,avg_ntemp,avg_temp
1,                     7.93,                     -0.53,                     3.7
2,                     3.49,                     -5.11,                     -0.81
3,                     5.45,                     -2.4,                     1.52
4,                     3.59,                     -4.52,                     -0.47
5,                     1.43,                     -9.96,                     -4.26
6,                     -0.75,                     -11.99,                     -6.37
7,                     12.59,                     1.13,                     6.86
8,                     11.53,                     2.78,                     7.15
